100000,2160
100001,5400
100002,4320
100003,4320
100004,4320
100005,4320
100006,4320
100007,4320
100008,4320
100009,4320
100010,720
100011,450
100012,360
100013,360
100014,360
100015,360
100016,360
100017,360
100018,360
100019,360
100020,576
100021,360
100022,360
100023,270
100024,270
100025,270
100026,270
100027,270
100028,270
100029,270
100030,576
100031,360
100032,270
100033,360
100034,270
100035,270
100036,270
100037,270
100038,270
100039,270
100040,576
100041,360
100042,270
100043,270
100044,360
100045,270
100046,270
100047,270
100048,270
100049,270
100050,576
100051,360
100052,270
100053,270
100054,270
100055,360
100056,270
100057,270
100058,270
100059,270
100060,576
100061,360
100062,270
100063,270
100064,270
100065,270
100066,360
100067,270
100068,270
100069,270
100070,576
100071,360
100072,270
100073,270
100074,270
100075,270
100076,270
100077,360
100078,270
100079,270
100080,576
100081,360
100082,270
100083,270
100084,270
100085,270
100086,270
100087,270
100088,360
100089,270
100090,576
100091,360
100092,270
100093,270
100094,270
100095,270
100096,270
100097,270
100098,270
100099,360
100100,24000
100101,720
100110,50
100111,1200
100158,324
100168,324
100186,324
100200,1152
100202,576
100222,144
100300,1152
100303,576
100333,144
100400,1152
100404,576
100444,144
100500,1152
100505,576
100518,324
100520,270
100521,270
100555,144
100600,1152
100606,576
100618,324
100666,316.8
100689,216
100698,216
100700,1152
100707,576
100777,144
100800,1152
100808,576
100869,216
100888,360
100896,216
100900,1152
100909,576
100918,324
100920,270
100921,270
100968,216
100986,216
100999,316.8
101000,8000
101001,720
101002,576
101003,576
101004,576
101005,576
101006,576
101007,576
101008,576
101009,576
101010,4000
101011,16000
101012,1152
101013,1152
101014,1152
101015,1152
101016,1152
101017,1152
101018,1152
101019,1152
101020,576
101021,576
101022,576
101023,432
101024,432
101025,432
101026,432
101027,432
101028,432
101029,432
101030,576
101031,576
101032,432
101033,576
101034,432
101035,432
101036,432
101037,432
101038,432
101039,432
101040,576
101041,576
101042,432
101043,432
101044,576
101045,432
101046,432
101047,432
101048,432
